station_name,poi_distance_from_bike_stn,free_bikes,review_count,rating
"003488 - Charles II Street, West End",124.5,22.0,269.5,4.2
"001126 - North Audley Street, Mayfair",232.7,3.0,225.2,4.2
"001011 - Belgrove Street , King's Cross",235.4,22.0,120.0,4.1
"001019 - Ampton Street , Clerkenwell",279.0,6.0,51.7,4.3
"002587 - Wormwood Street, Liverpool Street",238.8,9.0,178.4,4.2
"001037 - Park Lane , Hyde Park",384.2,28.0,111.0,4.5
"001122 - Ashley Place, Victoria",237.9,21.0,182.4,4.2
"001144 - Poured Lines, Bankside",297.1,30.0,214.9,4.1
"001121 - Lexham Gardens, Kensington",250.5,7.0,91.0,4.0
"001038 - Harrington Square 1, Camden Town",433.4,12.0,108.9,4.2
"001026 - Roscoe Street, St. Luke's",142.4,3.0,77.2,4.2
"001065 - Aldersgate Street, Barbican",193.1,2.0,46.0,4.2
"001043 - Museum of London, Barbican",273.0,0.0,137.0,4.0
"003459 - Collingham Gardens, Earl's Court",316.2,2.0,56.5,4.8
"003458 - Waterloo Place, St. James's",331.3,13.0,193.0,4.5
"001022 - Brunswick Square, Bloomsbury",193.9,4.0,98.0,4.0
"000980 - Malet Street, Bloomsbury",421.8,41.0,119.3,4.3
"001024 - Park Street, Bankside",143.8,11.0,148.0,4.3
"003446 - De Vere Gardens, Kensington",249.4,12.0,88.2,4.4
"001012 - Christopher Street, Liverpool Street",218.4,8.0,137.0,4.0
"003429 - Abbey Orchard Street, Westminster",246.1,2.0,250.7,4.4
"001053 - Clerkenwell Green, Clerkenwell",157.2,20.0,69.2,4.2
"001118 - Hampton Street, Walworth",435.6,17.0,35.4,4.3
"001154 - Kennington Road  , Vauxhall",469.7,11.0,84.3,4.2
"001067 - St. James's Square, St. James's",266.3,29.0,228.0,4.2
"001028 - William IV Street, Strand",183.0,22.0,559.9,4.3
"003479 - Old Brompton Road, South Kensington",236.8,5.0,94.5,4.0
"003460 - Warwick Square, Pimlico",285.0,17.0,42.3,4.5
"003469 - Cadogan Place, Knightsbridge",287.6,28.0,69.0,4.3
"001020 - Leonard Circus , Shoreditch",140.7,20.0,127.5,4.2
"003477 - Porchester Place, Paddington",225.8,1.0,124.0,4.4
"003478 - Guildhouse Street, Victoria",127.4,14.0,102.4,4.2
"001010 - Cartwright Gardens , Bloomsbury",130.1,13.0,72.7,4.2
"001163 - Wardour Street, Soho",123.5,1.0,277.5,4.2
"001124 - Sumner Place, South Kensington",282.8,2.0,118.2,4.3
"001102 - Leman Street, Aldgate",303.9,15.0,165.9,4.2
"001040 - West Smithfield Rotunda, Farringdon",135.0,8.0,221.0,3.8
"001007 - Drury Lane, Covent Garden",218.2,11.0,265.9,4.4
"001045 - Jewry Street, Aldgate",269.6,3.0,48.0,4.5
"001049 - Finsbury Leisure Centre, St. Luke's",252.2,7.0,41.0,4.2
"001113 - Trebovir Road, Earl's Court",373.4,9.0,81.8,4.2
"001018 - Phillimore Gardens, Kensington",166.2,33.0,59.0,4.4
"001052 - Soho Square , Soho",185.8,48.0,373.3,4.2
"000991 - Crosswall, Tower",216.9,28.0,286.0,4.5
"001150 - Queensway, Kensington Gardens",314.7,12.0,145.4,4.2
"000971 - Godliman Street, St. Paul's",150.4,16.0,128.4,4.5
"001093 - Kennington Cross, Kennington",357.1,20.0,32.6,4.1
"003463 - Argyll Road, Kensington",214.5,14.0,148.6,4.2
"001032 - New Inn Yard, Shoreditch",237.8,16.0,196.0,4.2
"000975 - Theobald's Road , Holborn",258.7,4.0,137.0,4.0
"001030 - Lisson Grove, St. John's Wood",479.9,5.0,33.8,4.2
"001056 - Finsbury Square , Moorgate",315.0,16.0,137.0,4.0
