network_city,network_name,station_name,station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37
London,santander-cycles,"001012 - Christopher Street, Liverpool Street",2d1fd6bf5426f3dc34fae06f43f76f69,51.52128377,-0.084605692,24,8,32
London,santander-cycles,"001024 - Park Street, Bankside",26184215d38089fcad213ef222e69780,51.50597426,-0.092754157,7,11,18
London,santander-cycles,"001022 - Brunswick Square, Bloomsbury",1eabd7ac8e781befd03f52ef56a18aa7,51.52395143,-0.122502346,20,4,24
London,santander-cycles,"000980 - Malet Street, Bloomsbury",23efb32f80a9dcd0e4f61fb44b353ce1,51.52168078,-0.130431727,8,41,49
London,santander-cycles,"001011 - Belgrove Street , King's Cross",025ecd9d4f9708f515a36660227c8f3f,51.52994371,-0.123616824,26,22,48
London,santander-cycles,"001010 - Cartwright Gardens , Bloomsbury",4c4028fef9930764b34cc63c411cd29f,51.52635795,-0.125979294,8,13,21
London,santander-cycles,"001007 - Drury Lane, Covent Garden",55f4dfcaf7fe3970b8722067a12b2f7f,51.51477076,-0.12221963,16,11,27
London,santander-cycles,"001009 - Taviton Street, Bloomsbury",ebe16a8a0722ff26b583e2bda9cd1af4,51.52505093,-0.131161087,28,2,30
London,santander-cycles,"000993 - Drummond Street , Euston",d68d55f9fc5a6ecc846d4e51d9bab5bd,51.527326,-0.13605286,20,8,28
London,santander-cycles,"001019 - Ampton Street , Clerkenwell",0c01f449802222cdd504c8eafa0322a4,51.52728093,-0.11829517,15,6,21
London,santander-cycles,"001025 - Bolsover Street, Fitzrovia",d72f1e4f9fcc28128a22a35b05589049,51.52351808,-0.143613641,18,1,19
London,santander-cycles,"001029 - Windsor Terrace, Hoxton",ad43baa18c9dbea9ba4b0966c386cc0c,51.52915444,-0.093421615,1,23,24
London,santander-cycles,"001020 - Leonard Circus , Shoreditch",491db6b066ce2d6b406508a8ceeb060b,51.52469624,-0.084439283,23,20,43
London,santander-cycles,"003446 - De Vere Gardens, Kensington",2b52d72500bd4fb639ab9f79df7e3c78,51.50173726,-0.184980612,16,12,28
London,santander-cycles,"003445 - Shoreditch High Street, Shoreditch",e7899ea58fd18b220d81d76c035834cf,51.5263778,-0.078130921,5,36,41
London,santander-cycles,"001084 - Pindar Street, Liverpool Street",909898d9d1513581b527f22453b32aac,51.520955,-0.083493552,23,1,24
London,santander-cycles,"001036 - Crawford Street, Marylebone",eb47143bda16b9e140e9c0ebaaad79e5,51.52026,-0.157183945,16,2,18
London,santander-cycles,"001034 - Bruton Street, Mayfair",911bcf42fd06c66c5c81e7384762b84c,51.51073687,-0.144165239,8,13,21
London,santander-cycles,"000971 - Godliman Street, St. Paul's",6da973289e6a340aa31d03dc615d43c8,51.51248445,-0.099141408,9,16,25
