network_city,network_name,station_name,bike_station_id,station_latitude,station_longitude,empty_slots,free_bikes,total_bikes,poi_id,poi_name,poi_distance_from_bike_stn,poi_latitude,poi_longitude,poi_bsns_category,review_count,rating
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,56a4a042498e6402f68851de,Quill London,25,51.529362,-0.110606,Retail,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,4bd6e9305631c9b6fa8ca630,Myddelton Square,150,51.530052,-0.108537,Landmarks and Outdoors,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,4ac518e8f964a52077ab20e3,Sadler's Wells,254,51.529125,-0.106354,Arts and Entertainment,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,50da842cc84c4c57279457da,Present & Correct,280,51.530109,-0.106121,Retail,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,Arts and Entertainment,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,4bffb0f0daf9c9b6c886faef,Moro Market Stall,306,51.525666,-0.109832,Dining and Drinking,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,527cf7d711d278b261650ba5,Turner & George,325,51.530392,-0.105858,Retail,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,Dining and Drinking,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,ruccgDIBllsprKlP_7HBpg,The Easton,330,51.526323227476,-0.11139933433552,Dining and Drinking,36.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,KRS7yBZBFT80iA86ahtQ-g,Santore,336,51.5262783740002,-0.108517492582082,Dining and Drinking,63.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,8UiJVZg7t6tbEre16SRMrw,The Wilmington,342,51.5260871554743,-0.110079628401081,Dining and Drinking,40.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,54293665498e82f0e3cc82ea,Saint Espressō,348,51.532042,-0.107601,Dining and Drinking,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,sqNehSxT2qk5bAfdiOBl9Q,Brill,358,51.525982413205,-0.10910041841816,Dining and Drinking,33.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,5db438898813f20007ff3b1b,Mikkeller Brewpub London,365,51.525966,-0.109192,Dining and Drinking,,
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,MCx1FDljaGB7wGdFtPHPtA,Moro Restaurant,372,51.525859880105,-0.10906549497442,Dining and Drinking,79.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,fpIx8nCBRqtImTkGJ-ujuQ,Morito,374,51.5258712768555,-0.108857996761799,Dining and Drinking,58.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,MXIZq8lJq5R8m1H58nL0Aw,Craft Beer Co.,404,51.532743541534,-0.111029873092527,Dining and Drinking,43.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,Bc4GZfIUJu9363QQVACZVA,Caravan,410,51.5254718215956,-0.110122750616417,Dining and Drinking,151.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,5ctdM8Aiw1K9M6vZ2jUTeA,Sen Viet,411,51.529089,-0.1159522,Dining and Drinking,71.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,EKB76yylnWlS2ZvW5JqkWg,Delhi Grill,488,51.5335417,-0.1093436,Dining and Drinking,47.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,wh4R2zTxcjZw4JcQFNBtog,Aux Pains de Papy,620,51.5273865,-0.1184675,Dining and Drinking,33.0,5.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,aTjIuf-lCWF6vGYDlQTPSg,Honest Burgers Kings Cross,655,51.5308718,-0.119039104215517,Dining and Drinking,112.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,K7VTGghPis9MLzcWPVWISA,Chilango,665,51.534366,-0.1053208,Dining and Drinking,157.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,CQsUI0K8XOAwSR4gN6l55Q,Pizza Union,713,51.531051655444,-0.11983242244974,Dining and Drinking,73.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,E2GbtvuTVKo23qJeyqc82w,Ngon Ngon,778,51.5221634,-0.1097323,Dining and Drinking,62.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,zOLPCLptUE2UKRXYWCEHvg,The Modern Pantry,812,51.5230301121618,-0.103575187145258,Dining and Drinking,148.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,q6KDb7nOXgQa5GTWBaCoCQ,Ciao Bella,913,51.5232425139546,-0.119118084823987,Dining and Drinking,138.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,3R0Klq1B1ESNTwqPfcsY-w,The Pig and Butcher,945,51.537442542029,-0.10682789450616,Dining and Drinking,118.0,4.5
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,nwZeSFKD0dRqDM1H4pDy3w,Look Mum No Hands!,1068,51.524013227609,-0.096938452042226,Dining and Drinking,153.0,4.0
London,santander-cycles,"001023 - River Street , Clerkenwell",7f3020118e56165ed8b2f61899edb971,51.52916347,-0.109970527,15,4,19,P3YeWO3ODeWmQVi-IilkAQ,St John Bar and Restaurant,1129,51.520481,-0.101486,Dining and Drinking,312.0,4.0
London,santander-cycles,"001018 - Phillimore Gardens, Kensington",67e6c16bce05410ba4b1f0f5000726ea,51.49960695,-0.197574246,4,33,37,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,Dining and Drinking,,
