poi_category,poi_category_name,poi_id,poi_name,poi_distance,poi_latitude,poi_longitude,poi_primary_category,poi_category,poi_category_name,poi_id,poi_name,poi_distance,poi_latitude,poi_longitude,station_id
17131.0,Stationery Store,56a4a042498e6402f68851de,Quill London,25,51.529362,-0.110606,Retail,,,,,,,,
16032.0,Park,4bd6e9305631c9b6fa8ca630,Myddelton Square,150,51.530052,-0.108537,Landmarks and Outdoors,,,,,,,,
10039.0,Music Venue,4ac518e8f964a52077ab20e3,Sadler's Wells,254,51.529125,-0.106354,Arts and Entertainment,,,,,,,,
10043.0,Theater,4ac518e8f964a52077ab20e3,Sadler's Wells,254,51.529125,-0.106354,Arts and Entertainment,,,,,,,,
17000.0,Retail,50da842cc84c4c57279457da,Present & Correct,280,51.530109,-0.106121,Retail,,,,,,,,
10041.0,Rock Club,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,Arts and Entertainment,,,,,,,,
13016.0,Lounge,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,Dining and Drinking,,,,,,,,
13065.0,Restaurant,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,Dining and Drinking,,,,,,,,
17059.0,Butcher,527cf7d711d278b261650ba5,Turner & George,325,51.530392,-0.105858,Retail,,,,,,,,
13054.0,Food Truck,4bffb0f0daf9c9b6c886faef,Moro Market Stall,306,51.525666,-0.109832,Dining and Drinking,,,,,,,,
13002.0,Bakery,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,Dining and Drinking,,,,,,,,
13035.0,Coffee Shop,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,Dining and Drinking,,,,,,,,
13065.0,Restaurant,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,Dining and Drinking,,,,,,,,
13029.0,Brewery,5db438898813f20007ff3b1b,Mikkeller Brewpub London,365,51.525966,-0.109192,Dining and Drinking,,,,,,,,
13035.0,Coffee Shop,54293665498e82f0e3cc82ea,Saint Espressō,348,51.532042,-0.107601,Dining and Drinking,,,,,,,,
13065.0,Restaurant,54293665498e82f0e3cc82ea,Saint Espressō,348,51.532042,-0.107601,Dining and Drinking,,,,,,,,
13034.0,Café,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,Dining and Drinking,,,,,,,,
13035.0,Coffee Shop,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,Dining and Drinking,,,,,,,,
13049.0,Diner,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,Dining and Drinking,,,,,,,,
13034.0,Café,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,Dining and Drinking,,,,,,,,
13065.0,Restaurant,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,Dining and Drinking,,,,,,,,
13065.0,Restaurant,4f312695e4b0951ff459b9d5,Nando's,41,51.499307,-0.197465,Dining and Drinking,,,,,,,,
10030.0,History Museum,57d5606a498e432cab0a7099,The Design Museum,144,51.499903,-0.199759,Arts and Entertainment,,,,,,,,
10027.0,Museum,4ac518d1f964a520eca620e3,18 Stafford Terrace,108,51.500472,-0.196849,Arts and Entertainment,,,,,,,,
17069.0,Grocery Store / Supermarket,4ba0f031f964a520818837e3,Waitrose,69,51.499071,-0.197882,Retail,,,,,,,,
13139.0,Eastern European Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,Dining and Drinking,,,,,,,,
13148.0,French Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,Dining and Drinking,,,,,,,,
13310.0,Modern European Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,Dining and Drinking,,,,,,,,
19055.0,Travel Agency,4bb899ef98c7ef3b33343102,Trailfinders,47,51.499869,-0.197033,,,,,,,,,
13276.0,Sushi Restaurant,4cd1cef21ac7a1cdc9342192,Yashin Sushi,174,51.500487,-0.195375,Dining and Drinking,,,,,,,,
13338.0,Seafood Restaurant,4cd1cef21ac7a1cdc9342192,Yashin Sushi,174,51.500487,-0.195375,Dining and Drinking,,,,,,,,
13352.0,Thai Restaurant,4b83d8b7f964a520571331e3,Papaya Tree,64,51.499565,-0.196575,Dining and Drinking,,,,,,,,
13016.0,Lounge,4bf831094a67c9285df824cf,Quartier Dining Room - Eight Moorgate,63,51.521503,-0.083882,Dining and Drinking,,,,,,,,
13065.0,Restaurant,4bf831094a67c9285df824cf,Quartier Dining Room - Eight Moorgate,63,51.521503,-0.083882,Dining and Drinking,,,,,,,,
13054.0,Food Truck,53bbdefe498e97b80789e930,Banh-Mi & Son,99,51.52164,-0.083249,Dining and Drinking,,,,,,,,
13034.0,Café,53ac0026498ee596ef17218b,The Backstreet Diner,90,51.52179,-0.083524,Dining and Drinking,,,,,,,,
13068.0,American Restaurant,53ac0026498ee596ef17218b,The Backstreet Diner,90,51.52179,-0.083524,Dining and Drinking,,,,,,,,
13127.0,Szechuan Restaurant,5698f64c498e6a3be418ab85,The Sichuan,193,51.522216,-0.087202,Dining and Drinking,,,,,,,,
13035.0,Coffee Shop,5dd505701d1198000826112d,Alchemy Coffee,273,51.523711,-0.084095,Dining and Drinking,,,,,,,,
13065.0,Restaurant,5dd505701d1198000826112d,Alchemy Coffee,273,51.523711,-0.084095,Dining and Drinking,,,,,,,,
17033.0,Department Store,4b7a9ebef964a520e6332fe3,Marks & Spencer,259,51.519461,-0.08714,Retail,,,,,,,,
13236.0,Italian Restaurant,5e4547254f10a40008fb2240,Padella Shoreditch,308,51.523489,-0.081848,Dining and Drinking,,,,,,,,
13064.0,Pizzeria,552fee6c498e17137c118b88,Franco Manca,289,51.518936,-0.083247,Dining and Drinking,,,,,,,,
13106.0,Dim Sum Restaurant,55537b80498eca9bfce36370,Yauatcha City,283,51.51897,-0.083684,Dining and Drinking,,,,,,,,
13065.0,Restaurant,5ab43df0f5e9d758514a0f06,Leroy,368,51.524045,-0.08151,Dining and Drinking,,,,,,,,
,,,,,,,,13236.0,Italian Restaurant,506186e2e4b0a08484dea30b,Brizzis Pizza Bar,69,51.526965,-0.136798,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,11036.0,Entertainment Service,4b83ac27f964a5206e0c31e3,The Magic Circle,104,51.526551,-0.135217,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,17073.0,Imported Food Store,59105400772fbc7bd0b0e2b1,Mestizo Mexican Market,190,51.527515,-0.138937,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13034.0,Café,4caaeb7576d3a093ef79276b,Speedy's Sandwich Bar & Cafe,123,51.526306,-0.137016,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13035.0,Coffee Shop,4caaeb7576d3a093ef79276b,Speedy's Sandwich Bar & Cafe,123,51.526306,-0.137016,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13145.0,Fast Food Restaurant,4caaeb7576d3a093ef79276b,Speedy's Sandwich Bar & Cafe,123,51.526306,-0.137016,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13006.0,Beer Bar,4cd450ca67adf04da9952691,Euston Tap,246,51.526943,-0.132598,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13057.0,Gastropub,4cd450ca67adf04da9952691,Euston Tap,246,51.526943,-0.132598,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13006.0,Beer Bar,589f6f81d4ab736cbd2dfcd2,Euston Tap East Lodge,261,51.527127,-0.132119,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,10015.0,Escape Room,4fc2154ae4b08acecbac155c,HintHunt,323,51.529779,-0.133255,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13072.0,Asian Restaurant,5324a7a7498e492fd87b02ff,Roti King,325,51.529023,-0.132066,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13145.0,Fast Food Restaurant,5324a7a7498e492fd87b02ff,Roti King,325,51.529023,-0.132066,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13299.0,Malay Restaurant,5324a7a7498e492fd87b02ff,Roti King,325,51.529023,-0.132066,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13002.0,Bakery,5c2b60e112c8f0002ca60b8f,Miel Bakery,407,51.52431,-0.139237,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,13065.0,Restaurant,5c2b60e112c8f0002ca60b8f,Miel Bakery,407,51.52431,-0.139237,d68d55f9fc5a6ecc846d4e51d9bab5bd
,,,,,,,,10031.0,Science Museum,4c19f69ed4d9c9289fb3f129,Grant Museum of Zoology,403,51.523779,-0.134338,d68d55f9fc5a6ecc846d4e51d9bab5bd
