poi_category,poi_category_name,poi_id,poi_name,poi_distance,poi_latitude,poi_longitude,station_id,poi_primary_category
17131,Stationery Store,56a4a042498e6402f68851de,Quill London,25,51.529362,-0.110606,7f3020118e56165ed8b2f61899edb971,Retail
16032,Park,4bd6e9305631c9b6fa8ca630,Myddelton Square,150,51.530052,-0.108537,7f3020118e56165ed8b2f61899edb971,Landmarks and Outdoors
10039,Music Venue,4ac518e8f964a52077ab20e3,Sadler's Wells,254,51.529125,-0.106354,7f3020118e56165ed8b2f61899edb971,Arts and Entertainment
10043,Theater,4ac518e8f964a52077ab20e3,Sadler's Wells,254,51.529125,-0.106354,7f3020118e56165ed8b2f61899edb971,Arts and Entertainment
17000,Retail,50da842cc84c4c57279457da,Present & Correct,280,51.530109,-0.106121,7f3020118e56165ed8b2f61899edb971,Retail
10041,Rock Club,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,7f3020118e56165ed8b2f61899edb971,Arts and Entertainment
13016,Lounge,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13065,Restaurant,4ac518cdf964a520cca520e3,The Lexington,294,51.531702,-0.111473,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
17059,Butcher,527cf7d711d278b261650ba5,Turner & George,325,51.530392,-0.105858,7f3020118e56165ed8b2f61899edb971,Retail
13054,Food Truck,4bffb0f0daf9c9b6c886faef,Moro Market Stall,306,51.525666,-0.109832,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13002,Bakery,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13035,Coffee Shop,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13065,Restaurant,5555d73f498eba1d92b0bd0a,Briki,330,51.526386,-0.108295,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13029,Brewery,5db438898813f20007ff3b1b,Mikkeller Brewpub London,365,51.525966,-0.109192,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13035,Coffee Shop,54293665498e82f0e3cc82ea,Saint Espressō,348,51.532042,-0.107601,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13065,Restaurant,54293665498e82f0e3cc82ea,Saint Espressō,348,51.532042,-0.107601,7f3020118e56165ed8b2f61899edb971,Dining and Drinking
13034,Café,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13035,Coffee Shop,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13049,Diner,4b1a6a68f964a5200dea23e3,Cafe Phillies,17,51.499786,-0.197632,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13034,Café,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13065,Restaurant,5defbb2b54c07c000857d526,Megan's on the High Street,10,51.499632,-0.19745,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13065,Restaurant,4f312695e4b0951ff459b9d5,Nando's,41,51.499307,-0.197465,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
10030,History Museum,57d5606a498e432cab0a7099,The Design Museum,144,51.499903,-0.199759,67e6c16bce05410ba4b1f0f5000726ea,Arts and Entertainment
10027,Museum,4ac518d1f964a520eca620e3,18 Stafford Terrace,108,51.500472,-0.196849,67e6c16bce05410ba4b1f0f5000726ea,Arts and Entertainment
17069,Grocery Store / Supermarket,4ba0f031f964a520818837e3,Waitrose,69,51.499071,-0.197882,67e6c16bce05410ba4b1f0f5000726ea,Retail
13139,Eastern European Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13148,French Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13310,Modern European Restaurant,4aeb56cef964a52024c121e3,Kitchen W8,75,51.498961,-0.196759,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
19055,Travel Agency,4bb899ef98c7ef3b33343102,Trailfinders,47,51.499869,-0.197033,67e6c16bce05410ba4b1f0f5000726ea,Travel and Transportation
13276,Sushi Restaurant,4cd1cef21ac7a1cdc9342192,Yashin Sushi,174,51.500487,-0.195375,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13338,Seafood Restaurant,4cd1cef21ac7a1cdc9342192,Yashin Sushi,174,51.500487,-0.195375,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13352,Thai Restaurant,4b83d8b7f964a520571331e3,Papaya Tree,64,51.499565,-0.196575,67e6c16bce05410ba4b1f0f5000726ea,Dining and Drinking
13016,Lounge,4bf831094a67c9285df824cf,Quartier Dining Room - Eight Moorgate,63,51.521503,-0.083882,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13065,Restaurant,4bf831094a67c9285df824cf,Quartier Dining Room - Eight Moorgate,63,51.521503,-0.083882,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13054,Food Truck,53bbdefe498e97b80789e930,Banh-Mi & Son,99,51.52164,-0.083249,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13034,Café,53ac0026498ee596ef17218b,The Backstreet Diner,90,51.52179,-0.083524,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13068,American Restaurant,53ac0026498ee596ef17218b,The Backstreet Diner,90,51.52179,-0.083524,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13127,Szechuan Restaurant,5698f64c498e6a3be418ab85,The Sichuan,193,51.522216,-0.087202,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13035,Coffee Shop,5dd505701d1198000826112d,Alchemy Coffee,273,51.523711,-0.084095,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
13065,Restaurant,5dd505701d1198000826112d,Alchemy Coffee,273,51.523711,-0.084095,2d1fd6bf5426f3dc34fae06f43f76f69,Dining and Drinking
