yelp_id,yelp_poi_name,review_count,categories,rating,poi_distance,poi_latitude,poi_longitude,bike_station_id
Bc4GZfIUJu9363QQVACZVA,Caravan,151,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,410,51.5254718215956,-0.110122750616417,7f3020118e56165ed8b2f61899edb971
aTjIuf-lCWF6vGYDlQTPSg,Honest Burgers Kings Cross,112,"[{'alias': 'burgers', 'title': 'Burgers'}]",4.5,655,51.5308718,-0.119039104215517,7f3020118e56165ed8b2f61899edb971
3R0Klq1B1ESNTwqPfcsY-w,The Pig and Butcher,118,"[{'alias': 'british', 'title': 'British'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",4.5,945,51.537442542029,-0.10682789450616,7f3020118e56165ed8b2f61899edb971
KRS7yBZBFT80iA86ahtQ-g,Santore,63,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,336,51.5262783740002,-0.108517492582082,7f3020118e56165ed8b2f61899edb971
MXIZq8lJq5R8m1H58nL0Aw,Craft Beer Co.,43,"[{'alias': 'pubs', 'title': 'Pubs'}]",4.5,404,51.532743541534,-0.111029873092527,7f3020118e56165ed8b2f61899edb971
P3YeWO3ODeWmQVi-IilkAQ,St John Bar and Restaurant,312,"[{'alias': 'british', 'title': 'British'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,1129,51.520481,-0.101486,7f3020118e56165ed8b2f61899edb971
fpIx8nCBRqtImTkGJ-ujuQ,Morito,58,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.0,374,51.5258712768555,-0.108857996761799,7f3020118e56165ed8b2f61899edb971
wh4R2zTxcjZw4JcQFNBtog,Aux Pains de Papy,33,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",5.0,620,51.5273865,-0.1184675,7f3020118e56165ed8b2f61899edb971
q6KDb7nOXgQa5GTWBaCoCQ,Ciao Bella,138,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.0,913,51.5232425139546,-0.119118084823987,7f3020118e56165ed8b2f61899edb971
sqNehSxT2qk5bAfdiOBl9Q,Brill,33,"[{'alias': 'media', 'title': 'Books, Mags, Music & Video'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,358,51.525982413205,-0.10910041841816,7f3020118e56165ed8b2f61899edb971
